level_0,Symbols,Close,High,Low,Open,Volume
2020-06-08,MRNA,59.1,59.38,56.72,58.3,11249314.0
2020-06-09,AMZN,130.043,131.322,126.25,126.472,103519000.0
2020-06-09,BNTX,47.336,47.6431,46.4248,47.3459,979659.8280896
2020-06-09,MRNA,58.23,59.405,57.73,58.55,7600166.0
2020-06-10,AMZN,132.372,136.118,131.313,132.25,98920620.0
2020-06-10,BNTX,46.9597,47.5431,46.1078,47.3459,921890.07084316
2020-06-10,MRNA,60.07,60.72,58.6,58.8,11074361.0
2020-06-11,AMZN,127.898,133.569,126.812,130.175,116002140.0
2020-06-11,BNTX,48.1383,48.7227,46.623,48.5345,1337549.4358611
2020-06-11,MRNA,60.2,66.6867,58.77,62.95,32085168.0
2020-06-12,AMZN,127.251,131.074,125.167,130.06,108722540.0
2020-06-12,BNTX,48.1185,48.9704,46.5635,48.901,867362.10752759
2020-06-12,MRNA,62.0,63.63,60.29,62.355,14742913.0
2020-06-15,AMZN,128.634,129.2,125.4,126.33,77466700.0
2020-06-15,BNTX,50.367,50.6839,47.8313,48.2572,1101551.6837264
2020-06-15,MRNA,66.57,66.98,63.424,65.9,19339289.0
2020-06-16,AMZN,130.764,131.0,128.8,131.0,71912980.0
2020-06-16,BNTX,49.426,51.0108,48.6237,50.5155,910356.51311465
2020-06-16,MRNA,64.34,66.6,62.6,66.31,16537847.0
2020-06-17,AMZN,132.049,132.75,131.591,132.375,59186320.0
2020-06-17,BNTX,50.367,51.0108,49.0299,49.2774,730003.33098737
2020-06-17,MRNA,63.31,65.88,62.58,63.6,13615975.0
2020-06-18,AMZN,132.699,132.982,131.806,132.35,49755480.0
2020-06-18,BNTX,50.4561,51.0999,49.3567,49.3864,698152.78133583
2020-06-18,MRNA,64.95,65.4,62.58,63.03,10914379.0
2020-06-19,AMZN,133.751,134.872,132.95,133.904,115539260.0
2020-06-19,BNTX,50.8721,51.09,49.4359,50.4165,742853.39425493
2020-06-19,MRNA,66.35,66.45,64.01,64.99,16076734.0
2020-06-22,AMZN,135.691,135.75,133.45,134.225,64175600.0
2020-06-22,BNTX,56.9043,58.3405,51.3575,51.4565,2703927.7180928
2020-06-22,MRNA,64.75,66.29,62.12,65.92,13586383.0
2020-06-23,AMZN,138.22,139.156,135.902,136.301,84634140.0
2020-06-23,BNTX,52.2489,55.4681,51.0306,55.0917,2162735.915403
2020-06-23,MRNA,62.94,65.08,62.74,64.1,12361339.0
2020-06-24,AMZN,136.72,139.8,136.05,139.0,90532100.0
2020-06-24,BNTX,54.2101,54.8242,51.318,52.4966,1357375.7669774
2020-06-24,MRNA,64.84,66.1559,63.14,63.23,14377115.0
2020-06-25,AMZN,137.729,137.812,135.607,136.978,59373140.0
2020-06-25,BNTX,59.1428,59.3508,53.0117,53.9922,2429435.303613
2020-06-25,MRNA,62.0,67.0,58.51,67.0,26905664.0
2020-06-26,AMZN,134.644,139.128,134.4,138.753,130015680.0
2020-06-26,BNTX,61.5398,62.768,55.9633,56.0921,2857870.0222283
2020-06-26,MRNA,61.28,62.29,59.14,60.71,13866283.0
2020-06-29,AMZN,134.019,134.84,131.504,134.501,84468440.0
2020-06-29,BNTX,65.175,70.702,63.5109,65.0561,4049828.4835696
2020-06-29,MRNA,62.08,63.0,59.4,61.82,8074205.0
2020-06-30,AMZN,137.941,138.482,133.752,134.253,75393720.0
2020-06-30,BNTX,66.106,67.6017,61.6287,65.5315,1998038.4475348
2020-06-30,MRNA,64.21,65.159,61.8,62.18,11955169.0
2020-07-01,AMZN,143.935,144.75,137.7,137.9,127268780.0
2020-07-01,BNTX,63.5307,78.626,61.7082,76.9619,9973999.4214618
2020-07-01,MRNA,61.59,63.73,59.12,63.0,17916470.0
2020-07-02,AMZN,144.515,147.778,143.555,145.6,131867740.0
2020-07-02,BNTX,62.669,68.7308,62.1341,67.5967,3964167.7891901
2020-07-02,MRNA,58.57,61.8,55.8097,60.0,26544378.0
2020-07-06,AMZN,152.852,152.994,146.5,146.748,137612840.0
2020-07-06,BNTX,64.8877,66.2645,63.7189,64.967,1665263.4040188
2020-07-06,MRNA,59.15,60.73,57.1,58.55,9977316.0
2020-07-07,AMZN,150.006,153.478,149.5,152.928,105150280.0
2020-07-07,BNTX,68.6813,70.2166,62.9067,63.3921,2286112.8781317
2020-07-07,MRNA,61.09,61.5,57.44,58.8,8904341.0
2020-07-08,AMZN,154.056,154.198,150.622,151.13,100752700.0
2020-07-08,BNTX,66.9182,67.9286,65.8287,66.5716,1463504.8918005
2020-07-08,MRNA,61.58,62.46,59.45,60.79,7590861.0
2020-07-09,AMZN,159.132,159.694,153.7,155.8,127773180.0
2020-07-09,BNTX,64.9868,67.3541,63.8972,65.9773,1198112.9228183
2020-07-09,MRNA,64.97,65.35,58.88,62.09,20646142.0
2020-07-10,AMZN,160.0,160.75,156.785,159.588,109719640.0
2020-07-10,BNTX,69.6916,70.6127,66.3636,66.3636,2901823.5384458
2020-07-10,MRNA,62.61,64.93,62.32,64.65,7407545.0
2020-07-13,AMZN,155.2,167.214,153.42,162.553,154408400.0
2020-07-13,BNTX,77.0412,84.0836,75.0304,77.7246,8611356.6227382
2020-07-13,MRNA,71.78,77.7499,63.8,63.89,56617291.0
2020-07-14,AMZN,154.2,156.369,147.5,154.45,144638660.0
2020-07-14,BNTX,83.0832,84.1926,77.2591,81.7857,4794266.9343401
2020-07-14,MRNA,75.04,76.9486,70.6201,74.0,38708760.0
2020-07-15,AMZN,150.444,154.918,148.659,154.012,115777480.0
2020-07-15,BNTX,77.2591,86.7481,76.0705,85.2623,3946167.8066322
2020-07-15,MRNA,80.22,88.37,78.01,87.52,90756071.0
2020-07-16,AMZN,149.995,151.6,145.912,148.553,127884920.0
2020-07-16,BNTX,75.1493,79.7353,73.8518,79.7353,2875235.98218
2020-07-16,MRNA,81.81,84.2899,79.6,80.1598,27277409.0
2020-07-17,AMZN,148.098,151.2,147.422,150.45,95226380.0
2020-07-17,BNTX,84.4402,85.5793,75.6941,75.8129,5101974.8643371
2020-07-17,MRNA,94.85,95.21,82.61,83.35,103509162.0
2020-07-20,AMZN,159.842,160.068,149.701,150.01,151963520.0
2020-07-20,BNTX,87.3622,95.1771,84.9553,90.875,7865476.4772516
2020-07-20,MRNA,82.68,90.85,78.05,87.86,78391296.0
2020-07-21,AMZN,156.914,162.029,155.286,161.624,122699300.0
2020-07-21,BNTX,90.7299,96.8908,89.1946,91.1261,6092322.2136201
2020-07-21,MRNA,80.86,82.43,79.07,80.91,26185580.0
2020-07-22,AMZN,154.996,157.5,153.263,156.25,82084500.0
2020-07-22,BNTX,103.18,103.993,92.7604,98.2478,13950282.2923
2020-07-22,MRNA,83.225,84.12,79.11,79.61,27274018.0
2020-07-23,AMZN,149.328,154.914,148.5,154.914,113138120.0
2020-07-23,BNTX,87.6692,100.189,86.1736,96.5872,16052225.737585
2020-07-23,MRNA,75.33,82.68,72.2,82.05,29288088.0
2020-07-24,AMZN,150.445,151.579,144.4,146.5,112648260.0
2020-07-24,BNTX,83.3705,85.8764,79.5768,85.4802,7177913.2868659
2020-07-24,MRNA,73.21,73.9,66.54,69.05,27797477.0
2020-07-27,AMZN,152.76,154.9,150.788,153.1,83409840.0
2020-07-27,BNTX,85.708,87.3622,80.9976,86.6094,5178341.2719126
2020-07-27,MRNA,79.91,80.98,76.16,80.63,44710713.0
2020-07-28,AMZN,150.016,153.855,149.788,152.714,62533020.0
2020-07-28,BNTX,84.569,89.5413,83.3011,88.1546,5157606.3096727
2020-07-28,MRNA,81.49,83.85,79.5,81.0,32946885.0
2020-07-29,AMZN,151.676,151.958,149.838,151.55,59481200.0
2020-07-29,BNTX,81.7163,85.9656,79.2599,84.7275,3883222.8903419
2020-07-29,MRNA,79.51,82.82,76.5502,81.98,24453924.0
2020-07-30,AMZN,152.594,154.6,150.25,150.7,122565300.0
2020-07-30,BNTX,83.3606,84.0737,77.2591,78.2991,3334424.8355577
2020-07-30,MRNA,77.63,79.25,76.8,78.0,13101985.0
2020-07-31,AMZN,158.234,162.341,157.55,162.2,161667380.0
2020-07-31,BNTX,81.33,86.1241,80.082,85.1831,2668319.4739502
2020-07-31,MRNA,74.1,78.44,73.6038,78.2,14223411.0
2020-08-03,AMZN,155.594,159.2,155.2,159.026,101493260.0
2020-08-03,BNTX,84.6581,84.668,81.0626,82.2017,2457762.3836853
2020-08-03,MRNA,77.98,77.99,73.03,74.98,13382327.0
2020-08-04,AMZN,156.942,158.362,155.06,155.06,93885880.0
2020-08-04,BNTX,82.38,83.6973,80.3098,83.6379,2433453.4723594
2020-08-04,MRNA,78.46,78.62,75.5,78.192,10126500.0
2020-08-05,AMZN,160.252,160.679,156.365,157.188,78600500.0
2020-08-05,BNTX,80.5277,82.4097,76.115,82.0333,4124703.7265123
2020-08-05,MRNA,75.8,77.49,73.69,77.49,19859902.0
2020-08-06,AMZN,161.25,162.373,158.272,159.718,78812040.0
2020-08-06,BNTX,76.3478,79.4976,75.8526,78.5368,3205632.4313325
2020-08-06,MRNA,73.76,76.25,73.12,75.79,11691503.0
2020-08-07,AMZN,158.373,162.04,157.034,161.2,78722540.0
2020-08-07,BNTX,76.2686,77.7939,73.3268,76.3577,3067356.9469476
2020-08-07,MRNA,74.1,75.39,73.01,74.38,8771437.0
2020-08-10,AMZN,157.408,158.626,155.076,158.516,63345480.0
2020-08-10,BNTX,73.2475,76.5434,70.2265,76.2686,2857755.9385428
